Black,Blue,Brown,Green,Greenyellow,Magenta,Pink,Purple,Red,Tan,Turquoise,Yellow
,Kdm3a,,,,,,,,,Fyttd1,
,Kdm3b,,,,,,,,,Fzr1,
,Kdm5a,,,,,,,,,G3bp1,
,Kdm5b,,,,,,,,,Gabra2,
,Kdm6a,,,,,,,,,Gabra3,
,Kdm6b,,,,,,,,,Gabra5,
,Kdsr,,,,,,,,,Gabrb1,
,Khdrbs2,,,,,,,,,Gabrb3,
,Khsrp,,,,,,,,,Gadd45gip1,
,Kif13a,,,,,,,,,Gak,
,Kif1c,,,,,,,,,Galk2,
,Kirrel3,,,,,,,,,Galnt18,
,Kiz,,,,,,,,,Galnt9,
,Klf15,,,,,,,,,Galt,
,Klf3,,,,,,,,,Ganab,
,Klf6,,,,,,,,,Gapvd1,
,Klhdc1,,,,,,,,,Gart,
,Klhdc8a,,,,,,,,,Gas2l1,
,Klhl12,,,,,,,,,Gas7,
,Klhl21,,,,,,,,,Gatad1,
,Klhl24,,,,,,,,,Gatad2b,
,Klhl29,,,,,,,,,Gba,
,Klhl32,,,,,,,,,Gba2,
,Klhl4,,,,,,,,,Gbas,
,Klhl5,,,,,,,,,Gbf1,
,Kmt2c,,,,,,,,,Gcc2,
,Kmt5a,,,,,,,,,Gclc,
,Kmt5b,,,,,,,,,Gda,
,Knop1,,,,,,,,,Gdap1,
,Krba1,,,,,,,,,Gdap1l1,
,Krcc1,,,,,,,,,Gdpd1,
,Kri1,,,,,,,,,Get4,
,Krit1,,,,,,,,,Gfer,
,Ktn1,,,,,,,,,Gfod1,
,Lage3,,,,,,,,,Gfra2,
,Lamb2,,,,,,,,,Gfra4,
,Lamc1,,,,,,,,,Gga1,
,Lamp2,,,,,,,,,Gga2,
,Lap3,,,,,,,,,Gga3,
,Larp1b,,,,,,,,,Ggct,
,Larp4,,,,,,,,,Ggnbp2,
,Larp6,,,,,,,,,Ggps1,
,Lats1,,,,,,,,,Gid8,
,Lats2,,,,,,,,,Gigyf1,
,Lbr,,,,,,,,,Gins1,
,Ldb1,,,,,,,,,Git1,
,Ldlr,,,,,,,,,Gk,
,Lemd2,,,,,,,,,Glb1,
,Leng8,,,,,,,,,Glce,
,Leo1,,,,,,,,,Gldc,
,Leprot,,,,,,,,,Gle1,
,Lgals8,,,,,,,,,Glmp,
,Lgi4,,,,,,,,,Glrx2,
,Lhfpl2,,,,,,,,,Gltscr1l,
,Lhfpl3,,,,,,,,,Gltscr2,
,Lias,,,,,,,,,Glyr1,
,Lifr,,,,,,,,,Gm10031,
,Lig3,,,,,,,,,Gm10039,
,Limch1,,,,,,,,,Gm10080,
,Limd1,,,,,,,,,Gm10123,
,Lims1,,,,,,,,,Gm10131,
,Lims2,,,,,,,,,Gm10146,
,Lin52,,,,,,,,,Gm10157,
,Lipa,,,,,,,,,Gm10169,
,Litaf,,,,,,,,,Gm10177,
,Lix1,,,,,,,,,Gm10221,
,Lix1l,,,,,,,,,Gm10320,
,Llgl1,,,,,,,,,Gm10419,
,Llph,,,,,,,,,Gm10704,
,Lman1,,,,,,,,,Gm11401,
,Lmo2,,,,,,,,,Gm11549,
,Lmo7,,,,,,,,,Gm11598,
,Lnx1,,,,,,,,,Gm11628,
,Lpcat3,,,,,,,,,Gm11836,
,Lpin1,,,,,,,,,Gm11945,
,Lpin2,,,,,,,,,Gm12163,
,Lrba,,,,,,,,,Gm12166,
,Lrch3,,,,,,,,,Gm12328,
,Lrif1,,,,,,,,,Gm12337,
,Lrig1,,,,,,,,,Gm12468,
,Lrig2,,,,,,,,,Gm12481,
,Lrp1,,,,,,,,,Gm12693,
,Lrp10,,,,,,,,,Gm12728,
,Lrp1b,,,,,,,,,Gm12765,
,Lrp4,,,,,,,,,Gm12983,
,Lrp8,,,,,,,,,Gm12989,
,Lrrc45,,,,,,,,,Gm13306,
,Lrrc47,,,,,,,,,Gm13392,
,Lrrc4b,,,,,,,,,Gm13453,
,Lrrc58,,,,,,,,,Gm13461,
,Lrrc73,,,,,,,,,Gm13835,
,Lrrc8c,,,,,,,,,Gm13889,
,Lrrcc1,,,,,,,,,Gm14237,
,Lrrn1,,,,,,,,,Gm14270,
,Lsamp,,,,,,,,,Gm14296,
,Lsm1,,,,,,,,,Gm14305,
,Lsm12,,,,,,,,,Gm14539,
,Lss,,,,,,,,,Gm14567,
,Ltbp3,,,,,,,,,Gm14719,
,Ltv1,,,,,,,,,Gm14830,
,Luc7l,,,,,,,,,Gm15151,
,Luc7l2,,,,,,,,,Gm15210,
,Lurap1,,,,,,,,,Gm15349,
,Luzp2,,,,,,,,,Gm15542,
,Lxn,,,,,,,,,Gm15599,
,Ly6a,,,,,,,,,Gm16056,
,Ly6c1,,,,,,,,,Gm16089,
,Ly6c2,,,,,,,,,Gm16379,
,Lypla1,,,,,,,,,Gm16418,
,Lyrm1,,,,,,,,,Gm16536,
,Lyrm2,,,,,,,,,Gm17494,
,Lyrm9,,,,,,,,,Gm1976,
,Lysmd4,,,,,,,,,Gm19938,
,Lzts2,,,,,,,,,Gm20604,
,Macf1,,,,,,,,,Gm21887,
,Macrod1,,,,,,,,,Gm21967,
,Mad2l2,,,,,,,,,Gm28555,
,Maf,,,,,,,,,Gm2962,
,Mafb,,,,,,,,,Gm30708,
,Maged2,,,,,,,,,Gm3244,
,Magt1,,,,,,,,,Gm3531,
,Maip1,,,,,,,,,Gm3571,
,Malsu1,,,,,,,,,Gm35857,
,Maml2,,,,,,,,,Gm37421,
,Manea,,,,,,,,,Gm4045,
,Maoa,,,,,,,,,Gm4204,
,Maob,,,,,,,,,Gm42372,
,Map2,,,,,,,,,Gm42517,
,Map3k11,,,,,,,,,Gm44509,
,Map3k2,,,,,,,,,Gm4459,
,Map4,,,,,,,,,Gm44705,
,Map4k2,,,,,,,,,Gm4540,
,Map4k4,,,,,,,,,Gm4602,
,Map4k5,,,,,,,,,Gm4735,
,Map7,,,,,,,,,Gm4799,
,Map7d1,,,,,,,,,Gm5160,
,Mapk1ip1,,,,,,,,,Gm5177,
,Mapkapk2,,,,,,,,,Gm5276,
,March1,,,,,,,,,Gm5422,
,March2,,,,,,,,,Gm5471,
,March8,,,,,,,,,Gm5526,
,Marf1,,,,,,,,,Gm5555,
,Mars2,,,,,,,,,Gm5558,
,Mast4,,,,,,,,,Gm561,
,Mat2a,,,,,,,,,Gm5644,
,Matr3,,,,,,,,,Gm5776,
,Mau2,,,,,,,,,Gm5835,
,Maz,,,,,,,,,Gm5881,
,Mbd1,,,,,,,,,Gm5883,
,Mbd5,,,,,,,,,Gm5915,
,Mbnl1,,,,,,,,,Gm6043,
,Mbnl2,,,,,,,,,Gm6061,
,Mboat2,,,,,,,,,Gm6075,
,Mbtd1,,,,,,,,,Gm6142,
,Mcat,,,,,,,,,Gm6155,
,Mcc,,,,,,,,,Gm6181,
,Mccc2,,,,,,,,,Gm6368,
,Mcee,,,,,,,,,Gm6395,
,Mcm3ap,,,,,,,,,Gm6419,
,Mcu,,,,,,,,,Gm6434,
,Mdga2,,,,,,,,,Gm6467,
,Mdk,,,,,,,,,Gm6472,
,Mdm4,,,,,,,,,Gm6563,
,Mdn1,,,,,,,,,Gm6612,
,Me1,,,,,,,,,Gm6741,
,Me2,,,,,,,,,Gm6768,
,Med13,,,,,,,,,Gm6788,
,Med13l,,,,,,,,,Gm6822,
,Med17,,,,,,,,,Gm6863,
,Med21,,,,,,,,,Gm6916,
,Med30,,,,,,,,,Gm7091,
,Med9,,,,,,,,,Gm7334,
,Meg3,,,,,,,,,Gm7436,
,Megf11,,,,,,,,,Gm8141,
,Megf8,,,,,,,,,Gm8186,
,Meis2,,,,,,,,,Gm8203,
,Mertk,,,,,,,,,Gm8394,
,Metrn,,,,,,,,,Gm8648,
,Mettl10,,,,,,,,,Gm8762,
,Mettl14,,,,,,,,,Gm8822,
,Mettl16,,,,,,,,,Gm8894,
,Mettl22,,,,,,,,,Gm9234,
,Mettl5,,,,,,,,,Gm9238,
,Mettl7a1,,,,,,,,,Gm9493,
,Mettl7a2,,,,,,,,,Gm9575,
,Mfap3l,,,,,,,,,Gm9712,
,Mff,,,,,,,,,Gm9728,
,Mfhas1,,,,,,,,,Gm9774,
,Mfn1,,,,,,,,,Gm9790,
,Mfsd1,,,,,,,,,Gm9840,
,Mfsd11,,,,,,,,,Gm996,
,Mfsd12,,,,,,,,,Gmcl1,
,Mfsd14b,,,,,,,,,Gmfb,
,Mfsd2a,,,,,,,,,Gmppa,
,Mfsd4a,,,,,,,,,Gmpr,
,Mfsd8,,,,,,,,,Gmps,
,Mgat2,,,,,,,,,Gna11,
,Micall1,,,,,,,,,Gnai1,
,Micu2,,,,,,,,,Gnaq,
,Mid2,,,,,,,,,Gnaz,
,Midn,,,,,,,,,Gnb4,
,Mief2,,,,,,,,,Gnb5,
,Mien1,,,,,,,,,Gng13,
,Mier1,,,,,,,,,Gng2,
,Mier3,,,,,,,,,Gng7,
,Mir6240,,,,,,,,,Gnl1,
,Mir703,,,,,,,,,Gnpat,
,Mirg,,,,,,,,,Gnptab,
,Mis12,,,,,,,,,Golga2,
,Mknk2,,,,,,,,,Golga3,
,Mkrn2,,,,,,,,,Golga4,
,Mllt10,,,,,,,,,Golga7b,
,Mllt3,,,,,,,,,Golgb1,
,Mllt6,,,,,,,,,Golm1,
,Mlycd,,,,,,,,,Golph3,
,Mmadhc,,,,,,,,,Gon4l,
,Mmd2,,,,,,,,,Gopc,
,Mmgt2,,,,,,,,,Gorasp1,
,Mmp15,,,,,,,,,Gorasp2,
,Mms19,,,,,,,,,Gosr2,
,Mob1a,,,,,,,,,Gpalpp1,
,Mob2,,,,,,,,,Gpat4,
,Mon1b,,,,,,,,,Gpatch8,
,Morf4l1,,,,,,,,,Gpbp1,
,Mospd1,,,,,,,,,Gpcpd1,
,Mpc1,,,,,,,,,Gpd1,
,Mpdu1,,,,,,,,,Gpd1l,
,Mpg,,,,,,,,,Gpd2,
,Mpp5,,,,,,,,,Gpm6a,
,Mpp6,,,,,,,,,Gpr158,
,Mpv17,,,,,,,,,Gpr162,
,Mpzl1,,,,,,,,,Gpr22,
,Mrgbp,,,,,,,,,Gpr26,
,Mrpl10,,,,,,,,,Gpr27,
,Mrpl16,,,,,,,,,Gpr83,
,Mrpl22,,,,,,,,,Gpr88,
,Mrpl24,,,,,,,,,Gpr89,
,Mrpl33,,,,,,,,,Gprin1,
,Mrpl35,,,,,,,,,Gps1,
,Mrpl9,,,,,,,,,Gpsm1,
,Mrps15,,,,,,,,,Gramd1a,
,Mrps27,,,,,,,,,Gramd1b,
,Mrps28,,,,,,,,,Grasp,
,Mrps35,,,,,,,,,Grb2,
,Mrps5,,,,,,,,,Grcc10,
,Msh6,,,,,,,,,Grem2,
,Msi1,,,,,,,,,Grhl1,
,Msi2,,,,,,,,,Gria1,
,Msl2,,,,,,,,,Gria2,
,Msl3,,,,,,,,,Gria3,
,Msn,,,,,,,,,Grid1,
,Mtdh,,,,,,,,,Grik3,
,Mterf2,,,,,,,,,Grik4,
,Mterf3,,,,,,,,,Grik5,
,Mtf1,,,,,,,,,Grin2a,
,Mthfd2l,,,,,,,,,Grk2,
,Mthfs,,,,,,,,,Grk6,
,Mtmr1,,,,,,,,,Grm2,
,Mtmr10,,,,,,,,,Grm5,
,Mtmr2,,,,,,,,,Grm7,
,Mtpap,,,,,,,,,Grp,
,Mtss1,,,,,,,,,Grpel1,
,Mtss1l,,,,,,,,,Grpel2,
,Mturn,,,,,,,,,Gse1,
,Mtus1,,,,,,,,,Gsg1l,
,Mtx3,,,,,,,,,Gskip,
,Mut,,,,,,,,,Gspt2,
,Mvk,,,,,,,,,Gsr,
,Mxd4,,,,,,,,,Gsto1,
,Mxi1,,,,,,,,,Gstp-ps,
,Mybbp1a,,,,,,,,,Gstp1,
,Mycbp2,,,,,,,,,Gtdc1,
,Myef2,,,,,,,,,Gtf2a2,
,Myh14,,,,,,,,,Gtf2b,
,Myl6b,,,,,,,,,Gtf2e2,
,Myl9,,,,,,,,,Gtf2f1,
,Myo10,,,,,,,,,Gtf2f2,
,Myo1b,,,,,,,,,Gtf2h2,
,Myo5a,,,,,,,,,Gtf2h5,
,Myo6,,,,,,,,,Gtf3a,
,Myo9b,,,,,,,,,Gtf3c1,
,Mysm1,,,,,,,,,Gtf3c2,
,N4bp2l2,,,,,,,,,Gtf3c3,
,N6amt1,,,,,,,,,Gtf3c4,
,Naa25,,,,,,,,,Gtpbp1,
,Naaa,,,,,,,,,Gtpbp2,
,Nab1,,,,,,,,,Gtpbp4,
,Nacad,,,,,,,,,Gtpbp6,
,Naf1,,,,,,,,,Gucy1a3,
,Nans,,,,,,,,,Gucy1b3,
,Narf,,,,,,,,,Guk1,
,Nat6,,,,,,,,,Gzf1,
,Nat8f1,,,,,,,,,H1f0,
,Nav2,,,,,,,,,H1fx,
,Nav3,,,,,,,,,H2afj,
,Naxd,,,,,,,,,H2afv,
,Nbas,,,,,,,,,H2afx,
,Nbeal1,,,,,,,,,H2afy,
,Nbn,,,,,,,,,H2afz,
,Ncam2,,,,,,,,,Habp4,
,Ncbp1,,,,,,,,,Hacd2,
,Ncbp3,,,,,,,,,Hacd3,
,Nck1,,,,,,,,,Hace1,
,Nck2,,,,,,,,,Hagh,
,Ncl,,,,,,,,,Hars,
,Ncoa2,,,,,,,,,Hbs1l,
,Ncoa3,,,,,,,,,Hcfc1,
,Ncoa6,,,,,,,,,Hcfc2,
,Ncor1,,,,,,,,,Hcn1,
,Ndc1,,,,,,,,,Hdac2,
,Nde1,,,,,,,,,Hdac3,
,Ndfip1,,,,,,,,,Hdac4,
,Ndor1,,,,,,,,,Hdac6,
,Ndst4,,,,,,,,,Hddc2,
,Ndufa1,,,,,,,,,Hdgf,
,Ndufa6,,,,,,,,,Hdgfrp2,
,Ndufa7,,,,,,,,,Hdlbp,
,Ndufaf8,,,,,,,,,Hebp1,
,Ndufb11,,,,,,,,,Heca,
,Ndufb6,,,,,,,,,Hectd1,
,Ndufv2,,,,,,,,,Hectd3,
,Nebl,,,,,,,,,Hecw1,
,Necap2,,,,,,,,,Helz,
,Nedd4,,,,,,,,,Herc1,
,Nek1,,,,,,,,,Herc3,
,Nek7,,,,,,,,,Herc4,
,Nek9,,,,,,,,,Herpud2,
,Nelfb,,,,,,,,,Hes1,
,Nelfe,,,,,,,,,Hexim1,
,Nemf,,,,,,,,,Hey1,
,Neu1,,,,,,,,,Hgs,
,Nf1,,,,,,,,,Hgsnat,
,Nfasc,,,,,,,,,Hid1,
,Nfe2l2,,,,,,,,,Hif1a,
,Nfia,,,,,,,,,Higd1a,
,Nfic,,,,,,,,,Higd2a,
,Nfix,,,,,,,,,Hikeshi,
,Nfkbia,,,,,,,,,Hint2,
,Ngdn,,,,,,,,,Hip1r,
,Ngly1,,,,,,,,,Hipk1,
,Ninj1,,,,,,,,,Hipk3,
,Nipa1,,,,,,,,,Hira,
,Nipbl,,,,,,,,,Hist3h2a,
,Nkain2,,,,,,,,,Hist3h2ba,
,Nkain4,,,,,,,,,Hivep1,
,Nkap,,,,,,,,,Hivep2,
,Nktr,,,,,,,,,Hivep3,
,Nkx2-2,,,,,,,,,Hk1,
,Nme7,,,,,,,,,Hmces,
,Noa1,,,,,,,,,Hmg20a,
,Nol12,,,,,,,,,Hmgcr,
,Nol8,,,,,,,,,Hmgn1,
,Nom1,,,,,,,,,Hmgn3,
,Nop14,,,,,,,,,Hmgxb3,
,Nop56,,,,,,,,,Hmox2,
,Nos1,,,,,,,,,Hn1,
,Notch1,,,,,,,,,Hnmt,
,Notch2,,,,,,,,,Hnrnpa0,
,Npas3,,,,,,,,,Hnrnpa2b1,
,Npat,,,,,,,,,Hnrnpab,
,Npc1,,,,,,,,,Hnrnpc,
,Npm1,,,,,,,,,Hnrnpd,
,Npr2,,,,,,,,,Hnrnpdl,
,Nr1d1,,,,,,,,,Hnrnpf,
,Nr1h2,,,,,,,,,Hnrnph1,
,Nr2c2,,,,,,,,,Hnrnph2,
,Nr2c2ap,,,,,,,,,Hnrnph3,
,Nr2f2,,,,,,,,,Hnrnpk,
,Nr2f6,,,,,,,,,Hnrnpl,
,Nras,,,,,,,,,Hnrnpll,
,Nrbp2,,,,,,,,,Hnrnpm,
,Nrd1,,,,,,,,,Hnrnpr,
,Nrip1,,,,,,,,,Hnrnpu,
,Nsa2,,,,,,,,,Hnrnpul2,
,Nsd2,,,,,,,,,Homer1,
,Nsmaf,,,,,,,,,Homer3,
,Nsmce2,,,,,,,,,Hp1bp3,
,Nsrp1,,,,,,,,,Hpca,
,Ntmt1,,,,,,,,,Hpcal4,
,Ntrk2,,,,,,,,,Hpf1,
,Nubp2,,,,,,,,,Hras,
,Nucb1,,,,,,,,,Hrk,
,Nudt16,,,,,,,,,Hs2st1,
,Nudt2,,,,,,,,,Hs3st2,
,Nufip2,,,,,,,,,Hs3st4,
,Nup153,,,,,,,,,Hs6st1,
,Nup214,,,,,,,,,Hsbp1,
,Nup85,,,,,,,,,Hsd17b4,
,Nup98,,,,,,,,,Hsd17b7,
,Nwd1,,,,,,,,,Hsf2,
,Nxt2,,,,,,,,,Hsp90ab1,
,Oard1,,,,,,,,,Hspa13,
,Odc1,,,,,,,,,Hspa14,
,Ogfr,,,,,,,,,Hspa1a,
,Olfr912.1,,,,,,,,,Hspa1b,
,Opalin,,,,,,,,,Hspa2,
,Oplah,,,,,,,,,Hspb11,
,Orai2,,,,,,,,,Hspbp1,
,Oraov1,,,,,,,,,Hspd1,
,Orc2,,,,,,,,,Hspe1,
,Orc3,,,,,,,,,Htatsf1,
,Orc5,,,,,,,,,Htra2,
,Osbp,,,,,,,,,Htt,
,Osbpl3,,,,,,,,,Hyou1,
,Osbpl9,,,,,,,,,Iars,
,Osgep,,,,,,,,,Iars2,
,Osgepl1,,,,,,,,,Ica1,
,Osgin2,,,,,,,,,Ica1l,
,Ostf1,,,,,,,,,Icam5,
,Otud1,,,,,,,,,Ice1,
,Otud4,,,,,,,,,Id2,
,Otud7b,,,,,,,,,Idh1,
,Otulin,,,,,,,,,Ids,
,Oxnad1,,,,,,,,,Ier3ip1,
,Oxsr1,,,,,,,,,Ier5,
,P2rx4,,,,,,,,,Ifi27,
,P2ry12,,,,,,,,,Ifngr2,
,P3h4,,,,,,,,,Ifrd1,
,P4ha1,,,,,,,,,Ift122,
,P4hb,,,,,,,,,Ift172,
,Pabpc1,,,,,,,,,Ift20,
,Pabpc4,,,,,,,,,Ift22,
,Pabpn1,,,,,,,,,Ift57,
,Pacrg,,,,,,,,,Igf2r,
,Pacsin3,,,,,,,,,Igfbp4,
,Pag1,,,,,,,,,Igfbp6,
,Paip2,,,,,,,,,Ighm,
,Paip2b,,,,,,,,,Igsf8,
,Pak2,,,,,,,,,Ik,
,Pan3,,,,,,,,,Ikbkap,
,Pank1,,,,,,,,,Ikbkg,
,Pank3,,,,,,,,,Il17d,
,Pank4,,,,,,,,,Il2,
,Panx2,,,,,,,,,Il34,
,Papd5,,,,,,,,,Ilf2,
,Papd7,,,,,,,,,Ilf3,
,Papolg,,,,,,,,,Ilk,
,Papss1,,,,,,,,,Ilkap,
,Papss2,,,,,,,,,Immt,
,Pard3,,,,,,,,,Imp3,
,Parg,,,,,,,,,Impa1,
,Parl,,,,,,,,,Impdh2,
,Parn,,,,,,,,,Inf2,
,Parp8,,,,,,,,,Ing2,
,Particl,,,,,,,,,Inip,
,Parvb,,,,,,,,,Ino80e,
,Patz1,,,,,,,,,Inpp1,
,Paxbp1,,,,,,,,,Insig2,
,Pbrm1,,,,,,,,,Ints1,
,Pbx3,,,,,,,,,Ints10,
,Pbxip1,,,,,,,,,Ints11,
,Pcbp4,,,,,,,,,Ints2,
,Pcca,,,,,,,,,Ints3,
,Pcdh11x,,,,,,,,,Ints4,
,Pcdhb9,,,,,,,,,Ints5,
,Pcf11,,,,,,,,,Ints7,
,Pck2,,,,,,,,,Ints8,
,Pcm1,,,,,,,,,Ip6k1,
,Pcna-ps2,,,,,,,,,Ip6k2,
,Pcnp,,,,,,,,,Ipcef1,
,Pcnt,,,,,,,,,Ipmk,
,Pcolce2,,,,,,,,,Ipo11,
,Pcsk6,,,,,,,,,Ipo13,
,Pcyt1a,,,,,,,,,Ipo5,
,Pcyt1b,,,,,,,,,Ipo7,
,Pcyt2,,,,,,,,,Ipo8,
,Pdcd2,,,,,,,,,Ipo9,
,Pdcl,,,,,,,,,Ippk,
,Pdcl3,,,,,,,,,Iqgap2,
,Pddc1,,,,,,,,,Iqsec2,
,Pdgfa,,,,,,,,,Iqsec3,
,Pdgfra,,,,,,,,,Irak1bp1,
,Pdia3,,,,,,,,,Ireb2,
,Pdk1,,,,,,,,,Irf2bp1,
,Pdlim5,,,,,,,,,Irf2bp2,
,Pdlim7,,,,,,,,,Irf2bpl,
,Pdrg1,,,,,,,,,Irgq,
,Pds5a,,,,,,,,,Irs2,
,Pdss2,,,,,,,,,Isca1,
,Pdxdc1,,,,,,,,,Isca2,
,Pdzd2,,,,,,,,,Islr2,
,Pdzd8,,,,,,,,,Ist1,
,Pdzd9,,,,,,,,,Isyna1,
,Pea15a,,,,,,,,,Itm2c,
,Peli2,,,,,,,,,Itpa,
,Pes1,,,,,,,,,Itpka,
,Pex1,,,,,,,,,Itpr1,
,Pex14,,,,,,,,,Itsn2,
,Pex2,,,,,,,,,Ivd,
,Pex3,,,,,,,,,Ivns1abp,
,Pex5l,,,,,,,,,Izumo4,
,Pex7,,,,,,,,,Jade2,
,Pfkfb3,,,,,,,,,Jagn1,
,Pgam1,,,,,,,,,Jak1,
,Pgap1,,,,,,,,,Jak2,
,Pgd,,,,,,,,,Jakmip1,
,Pgk1-rs7,,,,,,,,,Jakmip2,
,Pgls,,,,,,,,,Jdp2,
,Pgp,,,,,,,,,Jkamp,
,Pgr,,,,,,,,,Jmy,
,Phactr2,,,,,,,,,Josd1,
,Phb,,,,,,,,,Jph1,
,Phc1,,,,,,,,,Jph3,
,Phc3,,,,,,,,,Jph4,
,Phf1,,,,,,,,,Jun,
,Phf14,,,,,,,,,Junb,
,Phf21a,,,,,,,,,Jund,
,Phgdh,,,,,,,,,Kalrn,
,Phip,,,,,,,,,Kansl2,
,Phka1,,,,,,,,,Kantr,
,Phka2,,,,,,,,,Kars,
,Phkb,,,,,,,,,Kat2a,
,Phlda3,,,,,,,,,Kat7,
,Phlpp1,,,,,,,,,Kat8,
,Phospho2,,,,,,,,,Katnal1,
,Phpt1,,,,,,,,,Katnb1,
,Phrf1,,,,,,,,,Kbtbd11,
,Phyh,,,,,,,,,Kbtbd2,
,Phyhipl,,,,,,,,,Kbtbd4,
,Phykpl,,,,,,,,,Kbtbd7,
,Pias3,,,,,,,,,Kcmf1,
,Pias4,,,,,,,,,Kcna4,
,Picalm,,,,,,,,,Kcnab1,
,Pigf,,,,,,,,,Kcnb1,
,Pign,,,,,,,,,Kcnb2,
,Pigp,,,,,,,,,Kcnc4,
,Pigs,,,,,,,,,Kcnd3,
,Pik3c2a,,,,,,,,,Kcnf1,
,Pik3ip1,,,,,,,,,Kcng1,
,Pik3r1,,,,,,,,,Kcnh1,
,Pik3r4,,,,,,,,,Kcnh3,
,Pikfyve,,,,,,,,,Kcnh7,
,Pim3,,,,,,,,,Kcnip2,
,Pin4,,,,,,,,,Kcnip3,
,Pitpnm1,,,,,,,,,Kcnj11,
,Pitpnm3,,,,,,,,,Kcnj3,
,Pitrm1,,,,,,,,,Kcnj4,
,Pja1,,,,,,,,,Kcnk2,
,Pkd2,,,,,,,,,Kcnma1,
,Pkib,,,,,,,,,Kcnmb4,
,Pkn2,,,,,,,,,Kcnn2,
,Pla2g16,,,,,,,,,Kcnq3,
,Plac9a,,,,,,,,,Kcnq5,
,Plat,,,,,,,,,Kcnt2,
,Plcd4,,,,,,,,,Kcnv1,
,Plch2,,,,,,,,,Kctd1,
,Plcl1,,,,,,,,,Kctd10,
,Plekha5,,,,,,,,,Kctd12,
,Plekhb2,,,,,,,,,Kctd13,
,Plekhh1,,,,,,,,,Kctd20,
,Plekhm1,,,,,,,,,Kctd3,
,Plekhm3,,,,,,,,,Kctd4,
,Plekhn1,,,,,,,,,Kctd5,
,Plgrkt,,,,,,,,,Kctd6,
,Plod3,,,,,,,,,Kdelr1,
,Plpp1,,,,,,,,,Kdelr2,
,Plppr3,,,,,,,,,Kdm1a,
,Pltp,,,,,,,,,Kdm2a,
,Plxdc2,,,,,,,,,Kdm4a,
,Plxnb1,,,,,,,,,Kdm4b,
,Plxnb2,,,,,,,,,Kdm4c,
,Plxnd1,,,,,,,,,Kdm5c,
,Pmepa1,,,,,,,,,Kdm7a,
,Pnisr,,,,,,,,,Keap1,
,Pnkp,,,,,,,,,Khdrbs1,
,Pnn,,,,,,,,,Khdrbs3,
,Pnoc,,,,,,,,,Kif1bp,
,Pnp,,,,,,,,,Kif21a,
,Pnpla2,,,,,,,,,Kif21b,
,Pnpla8,,,,,,,,,Kif2a,
,Pnrc2,,,,,,,,,Kif3b,
,Poc5,,,,,,,,,Kifc2,
,Pofut2,,,,,,,,,Kifc3,
,Pogk,,,,,,,,,Kit,
,Pold2,,,,,,,,,Klf10,
,Pold3,,,,,,,,,Klf13,
,Poldip3,,,,,,,,,Klf16,
,Pole3,,,,,,,,,Klf7,
,Polr1a,,,,,,,,,Klf9,
,Polr2b,,,,,,,,,Klhdc10,
,Polr2l,,,,,,,,,Klhdc2,
,Polr2m,,,,,,,,,Klhdc8b,
,Polr3c,,,,,,,,,Klhl15,
,Polr3d,,,,,,,,,Klhl18,
,Polr3f,,,,,,,,,Klhl2,
,Polrmt,,,,,,,,,Klhl22,
,Pon2,,,,,,,,,Klhl23,
,Pou2f1,,,,,,,,,Klhl26,
,Pou3f1,,,,,,,,,Klhl42,
,Pou3f2,,,,,,,,,Klhl7,
,Pou3f3,,,,,,,,,Klhl8,
,Ppa2,,,,,,,,,Klhl9,
,Ppargc1a,,,,,,,,,Kmt2a,
,Ppfia1,,,,,,,,,Kmt2b,
,Ppfibp1,,,,,,,,,Kmt2d,
,Pphln1,,,,,,,,,Kmt2e,
,Ppig,,,,,,,,,Kpna1,
,Ppip5k2,,,,,,,,,Kpna3,
,Ppm1d,,,,,,,,,Kpna4,
,Ppm1f,,,,,,,,,Kpna6,
,Ppm1h,,,,,,,,,Kpnb1,
,Ppp1cc,,,,,,,,,Kras,
,Ppp1r10,,,,,,,,,Krr1,
,Ppp1r14b,,,,,,,,,Krt12,
,Ppp1r15b,,,,,,,,,Krt222,
,Ppp1r16b,,,,,,,,,Krtcap2,
,Ppp1r1b,,,,,,,,,Ksr1,
,Ppp1r3c,,,,,,,,,Ksr2,
,Ppp2cb,,,,,,,,,Kxd1,
,Ppp2r3a,,,,,,,,,L3mbtl2,
,Ppp2r3c,,,,,,,,,L3mbtl3,
,Ppp2r3d,,,,,,,,,Lactb,
,Ppp2r5c,,,,,,,,,Lamp5,
,Ppp4r1,,,,,,,,,Lamtor1,
,Prag1,,,,,,,,,Lamtor3,
,Prdm4,,,,,,,,,Lamtor4,
,Prdx4,,,,,,,,,Lamtor5,
,Prelp,,,,,,,,,Lancl1,
,Prex1,,,,,,,,,Lancl2,
,Prex2,,,,,,,,,Large1,
,Prkag1,,,,,,,,,Larp1,
,Prkcdbp,,,,,,,,,Larp4b,
,Prkdc,,,,,,,,,Lars,
,Prkg2,,,,,,,,,Las1l,
,Prkra,,,,,,,,,Lasp1,
,Prmt3,,,,,,,,,Lclat1,
,Prmt9,,,,,,,,,Lcmt1,
,Prodh,,,,,,,,,Lcorl,
,Prpf19,,,,,,,,,Ldah,
,Prpf38b,,,,,,,,,Ldb2,
,Prpf39,,,,,,,,,Ldha,
,Prr12,,,,,,,,,Ldoc1l,
,Prr14l,,,,,,,,,Lemd3,
